City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
aguimes,20,ES,1578444403,63,27.91,-15.45,64.4,16.11
melo,0,UY,1578444404,59,-32.37,-54.17,66.29,12.75
santa lucia cotzumalguapa,5,GT,1578444404,78,14.33,-91.02,80.6,5.88
presidencia roque saenz pena,0,AR,1578444404,27,-26.79,-60.44,79.56,4.32
pochutla,5,MX,1578444404,48,15.74,-96.47,86.0,13.27
guiren,59,CN,1578444404,86,33.67,118.19,32.4,3.6
auki,100,SB,1578444404,86,-8.77,160.7,81.86,15.52
kavaratti,36,IN,1578444404,73,10.57,72.64,81.93,11.83
kloulklubed,75,PW,1578444404,70,7.04,134.26,84.2,16.11
moanda,63,GA,1578444405,82,-1.55,13.22,72.21,2.35
paris,1,US,1578444405,60,36.3,-88.33,44.6,3.36
parati,75,BR,1578444405,100,-20.51,-54.63,73.4,2.24
jining,0,CN,1578444405,68,35.41,116.58,29.35,5.48
vallenar,0,CL,1578444405,75,-28.58,-70.76,61.47,6.17
ryotsu,75,JP,1578444405,93,38.08,138.43,46.4,5.82
wakkanai,75,JP,1578444405,79,45.41,141.67,26.6,6.93
diamantino,96,BR,1578444405,90,-14.4,-56.44,75.13,4.74
katsuura,20,JP,1578444406,82,33.93,134.5,62.01,10.29
padilla,99,BO,1578444406,97,-19.31,-64.3,56.21,0.49
mikhaylovka,90,KZ,1578444406,92,54.89,69.46,19.4,2.24
upernavik,100,GL,1578444406,72,72.79,-56.15,-14.17,4.5
qarchi gak,0,AF,1578444406,86,37.04,66.79,33.8,6.93
jamame,100,SO,1578444406,82,0.07,42.75,82.24,21.72
lubango,87,AO,1578444406,86,-14.92,13.49,57.58,6.08
arawa,58,PG,1578444406,70,-6.23,155.57,85.1,3.62
belaya,0,RU,1578444407,85,51.06,35.71,19.89,3.44
cayenne,95,GF,1578444407,83,4.94,-52.33,80.6,6.93
rancho palos verdes,40,US,1578444407,36,33.75,-118.37,73.0,10.29
sovetskiy,79,RU,1578444407,96,56.76,48.47,8.91,6.78
yurimaguas,17,PE,1578444407,74,-5.9,-76.1,79.74,1.74
brae,98,GB,1578444407,75,60.4,-1.35,46.4,33.33
corrente,70,BR,1578444407,96,-17.45,-44.68,71.31,3.89
vardo,40,NO,1578444407,86,70.37,31.11,30.2,8.05
weligama,40,LK,1578444407,91,5.97,80.42,72.5,3.51
andenes,100,NO,1578444408,80,69.31,16.12,41.0,27.51
zaragoza,89,MX,1578444408,97,19.77,-97.56,56.26,2.91
turbat,0,PK,1578444408,36,26,63.05,58.59,24.61
thunder bay,75,CA,1578444122,60,48.41,-89.26,8.01,14.99
carnarvon,0,AU,1578444408,73,-24.87,113.63,77.0,21.92
touros,40,BR,1578444252,83,-5.2,-35.46,80.6,8.05
tura,10,RU,1578444408,93,64.27,100.22,-3.87,4.72
muros,75,ES,1578444408,100,42.77,-9.06,55.0,2.24
ishigaki,40,JP,1578444409,94,24.34,124.16,71.6,3.36
nova olimpia,100,BR,1578444409,92,-14.8,-57.29,76.05,3.42
batticaloa,84,LK,1578444409,93,7.71,81.69,72.81,2.91
gombe,0,NG,1578444409,25,10.28,11.16,69.26,11.45
petropavlovsk-kamchatskiy,96,RU,1578444409,61,53.05,158.65,15.8,4.47
soe,95,ID,1578444409,64,-9.86,124.28,82.89,3.15
takoradi,17,GH,1578444409,81,4.89,-1.75,78.55,8.63
saint-joseph,48,RE,1578444410,78,-21.37,55.62,77.0,4.7
oberndorf,45,DE,1578444410,96,50.96,8.3,41.0,5.23
qandala,87,SO,1578444410,71,11.47,49.87,74.95,3.06
san patricio,5,MX,1578444410,74,19.22,-104.7,82.4,5.82
szczytno,75,PL,1578444410,88,53.57,20.99,32.0,5.82
helong,0,CN,1578444410,87,25.94,116.13,43.92,3.65
kutum,0,SD,1578444410,28,14.2,24.66,58.96,5.86
te anau,100,NZ,1578444410,72,-45.41,167.72,50.25,4.12
bilma,36,NE,1578444411,34,18.69,12.92,54.48,10.87
raudeberg,100,NO,1578444411,81,61.99,5.14,50.0,27.51
tosya,100,TR,1578444411,98,41.02,34.04,32.9,4.45
saint-augustin,90,CA,1578444411,73,45.63,-73.98,27.0,6.93
srednekolymsk,49,RU,1578444411,95,67.46,153.71,-20.33,3.89
matara,40,LK,1578444411,91,5.95,80.54,72.5,3.51
eureka,90,US,1578444411,100,40.8,-124.16,51.8,6.93
anadyr,75,RU,1578444412,84,64.73,177.51,1.4,4.47
lewistown,90,US,1578444412,74,40.39,-90.15,37.99,4.7
mitsamiouli,36,KM,1578444412,72,-11.38,43.28,82.76,1.81
zhezkazgan,72,KZ,1578444412,99,47.8,67.71,3.74,1.12
kachiry,100,KZ,1578444412,96,53.07,76.1,15.44,3.06
sarakhs,0,IR,1578444412,62,36.54,61.16,39.2,6.93
sukumo,68,JP,1578444412,65,32.94,132.72,57.81,26.96
shiyan,100,CN,1578444412,94,32.65,110.78,34.39,2.86
binga,15,CD,1578444413,77,0.52,29.32,66.92,2.48
darab,0,IR,1578444413,54,28.75,54.55,46.06,0.78
vanimo,100,PG,1578444413,90,-2.67,141.3,79.03,15.84
cartagena,20,CO,1578444413,69,5.03,-75.64,75.2,4.7
taltal,0,CL,1578444413,86,-25.41,-70.49,62.73,2.04
dutlwe,100,BW,1578444413,81,-23.98,23.93,70.57,7.87
wasilla,90,US,1578444413,84,61.58,-149.44,1.0,0.81
nortelandia,100,BR,1578444413,93,-14.45,-56.8,74.23,5.06
muisne,24,EC,1578444414,89,0.61,-80.02,75.96,6.49
port lincoln,0,AU,1578444414,48,-34.72,135.86,74.91,7.87
rognan,75,NO,1578444414,75,67.1,15.4,42.8,19.46
nanortalik,100,GL,1578444414,88,60.14,-45.24,21.47,4.32
comodoro rivadavia,20,AR,1578444414,24,-45.87,-67.48,68.0,24.16
aswan,0,EG,1578444414,54,24.09,32.9,48.65,11.1
nandyal,0,IN,1578444414,95,15.47,78.48,67.48,3.71
lompoc,40,US,1578444414,82,34.64,-120.46,62.6,12.75
okha,100,RU,1578444415,93,53.59,142.95,9.19,10.29
aden,96,YE,1578444365,78,12.79,45.03,76.41,7.45
kalachinsk,100,RU,1578444415,97,55.05,74.58,8.6,4.38
bandarbeyla,100,SO,1578444415,75,9.49,50.81,78.69,18.97
jaisalmer,0,IN,1578444415,80,26.91,70.91,51.28,5.66
muret,75,FR,1578444415,100,43.46,1.33,42.01,3.36
kashi,75,CN,1578444415,92,39.45,75.98,23.0,2.24
kavieng,77,PG,1578444415,79,-2.57,150.8,83.3,14.47
alexandria,40,US,1578444416,92,38.81,-77.05,35.01,4.7
nokaneng,95,BW,1578444416,84,-19.66,22.19,71.82,5.26
banff,100,CA,1578444126,89,51.18,-115.57,12.99,11.99
pacov,90,CZ,1578444416,97,49.47,15,35.01,3.36
biak,98,ID,1578444416,72,-0.91,122.88,82.76,9.8
pacifica,90,US,1578444416,76,37.61,-122.49,55.99,10.29
san antonio,75,PH,1578444416,83,15.31,120.85,77.0,2.24
kihei,40,US,1578444416,57,20.76,-156.45,80.6,20.8
walvis bay,0,NA,1578444416,88,-22.95,14.51,64.99,3.36
launceston,31,AU,1578444402,49,-41.43,147.14,81.0,5.82
korla,99,CN,1578444417,34,41.76,86.15,16.09,4.27
daru,100,PG,1578444417,82,-9.07,143.21,84.24,1.52
burnie,63,AU,1578444417,61,-41.05,145.91,71.01,11.01
olinda,20,BR,1578444417,74,-22.82,-43.41,82.4,5.82
kashan,0,IR,1578444417,63,33.99,51.44,40.5,6.67
high level,90,CA,1578444417,75,58.52,-117.13,-14.8,2.24
yakovlevskoye,90,RU,1578444418,92,55.46,36.94,33.01,8.95
cuiluan,24,CN,1578444418,95,47.72,128.65,-0.08,4.27
boa viagem,62,BR,1578444160,71,-5.13,-39.73,78.44,5.21
ziro,0,IN,1578444418,77,27.54,93.82,42.53,3.18
luwuk,98,ID,1578444418,72,-0.95,122.79,82.76,9.8
konza,75,KE,1578444418,93,-1.74,37.13,62.6,8.05
cieza,0,ES,1578444418,90,38.24,-1.42,45.0,2.17
amazar,4,RU,1578444418,89,53.86,120.88,-9.29,1.99
marienburg,20,SR,1578444418,78,5.88,-55.04,80.6,5.82
ahipara,1,NZ,1578444419,67,-35.17,173.16,61.36,15.17
morondava,1,MG,1578444419,91,-20.3,44.28,76.23,0.76
alugan,100,PH,1578444419,83,12.22,125.48,79.9,11.99
bathsheba,20,BB,1578444419,69,13.22,-59.52,78.8,17.22
galveston,40,US,1578444419,69,40.58,-86.19,37.99,8.05
solton,100,RU,1578444419,85,52.84,86.48,7.65,1.92
soyo,100,AO,1578444419,82,-6.13,12.37,79.61,3.67
bethalto,1,US,1578444420,69,38.91,-90.04,43.0,6.93
onega,100,RU,1578444420,95,63.91,38.09,35.19,14.12
havre,90,US,1578444420,86,48.55,-109.68,26.6,18.34
ismailia,0,EG,1578444258,60,30.6,32.27,49.86,14.32
los llanos de aridane,20,ES,1578444420,68,28.66,-17.92,66.2,6.93
oranjemund,90,NA,1578444420,79,-28.55,16.43,64.35,3.69
bilibino,0,RU,1578444420,90,68.06,166.44,-27.85,3
margate,100,ZA,1578444420,85,-30.86,30.37,78.76,20.56
nizhniy ingash,91,RU,1578444421,95,56.2,96.53,12.81,6.31
colares,0,PT,1578444421,87,38.8,-9.45,48.99,10.29
mana,48,GF,1578444421,96,5.67,-53.78,74.34,2.68
pontian kecil,75,MY,1578444421,94,1.48,103.39,80.6,1.12
aranos,30,NA,1578444421,70,-24.14,19.11,73.33,9.13
